ANO_LETIVO,NM_DIRETORIA,NM_MUNICIPIO,CD_REDE_ENSINO,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3,MESORREGIAO
2013,CARAGUATATUBA,SAO SEBASTIAO,1.0,98.84,1.16,0.0,97.06,2.94,0.0,93.39,5.82,0.79,VALE DO PARAIBA PAULISTA
2013,CARAGUATATUBA,UBATUBA,1.0,98.42,1.58,0.0,96.65,3.16,0.2,91.12,7.68,1.2,VALE DO PARAIBA PAULISTA
2013,CARAGUATATUBA,ILHABELA,1.0,98.83,1.17,0.0,95.38,4.62,0.0,91.11,7.05,1.85,VALE DO PARAIBA PAULISTA
2013,CARAPICUIBA,CARAPICUIBA,1.0,97.73,1.77,0.5,0.0,0.0,0.0,80.89,11.66,7.45,METROPOLITANA DE SAO PAULO
2013,CARAPICUIBA,COTIA,1.0,94.23,5.33,0.44,83.68,12.63,3.69,75.01,15.83,9.17,METROPOLITANA DE SAO PAULO
2013,CATANDUVA,ARIRANHA,1.0,0.0,0.0,0.0,97.15,2.19,0.66,94.46,4.06,1.48,SAO JOSE DO RIO PRETO
2013,CATANDUVA,PALMARES PAULISTA,1.0,0.0,0.0,0.0,97.2,2.47,0.33,90.43,5.09,4.48,SAO JOSE DO RIO PRETO
2013,CATANDUVA,CATANDUVA,1.0,96.53,3.39,0.08,87.67,12.08,0.25,88.19,8.77,3.04,SAO JOSE DO RIO PRETO
2013,CATANDUVA,SANTA ADELIA,1.0,100.0,0.0,0.0,98.28,1.72,0.0,94.1,4.08,1.81,SAO JOSE DO RIO PRETO
2013,CATANDUVA,TABAPUA,1.0,90.78,9.22,0.0,97.12,2.88,0.0,97.75,2.25,0.0,SAO JOSE DO RIO PRETO
2013,CATANDUVA,EMBAUBA,1.0,97.2,2.8,0.0,0.0,0.0,0.0,98.86,1.14,0.0,SAO JOSE DO RIO PRETO
2013,CATANDUVA,MARAPOAMA,1.0,0.0,0.0,0.0,97.2,2.8,0.0,89.9,6.06,4.04,SAO JOSE DO RIO PRETO
2013,CATANDUVA,CATIGUA,1.0,93.66,6.34,0.0,0.0,0.0,0.0,95.58,0.0,4.42,SAO JOSE DO RIO PRETO
2013,CATANDUVA,NOVO HORIZONTE,1.0,99.15,0.85,0.0,98.89,0.74,0.37,87.31,9.96,2.74,SAO JOSE DO RIO PRETO
2013,CATANDUVA,PINDORAMA,1.0,93.45,6.32,0.23,93.32,5.68,1.0,90.86,5.84,3.3,SAO JOSE DO RIO PRETO
2013,CATANDUVA,CAJOBI,1.0,99.82,0.18,0.0,99.41,0.59,0.0,85.54,5.85,8.62,SAO JOSE DO RIO PRETO
2013,CATANDUVA,ITAJOBI,1.0,100.0,0.0,0.0,100.0,0.0,0.0,93.17,6.83,0.0,SAO JOSE DO RIO PRETO
2013,CATANDUVA,PARAISO,1.0,98.52,1.48,0.0,99.39,0.3,0.3,88.52,4.92,6.56,SAO JOSE DO RIO PRETO
2013,CATANDUVA,ELISIARIO,1.0,100.0,0.0,0.0,100.0,0.0,0.0,97.44,2.56,0.0,SAO JOSE DO RIO PRETO
2013,CATANDUVA,NOVAIS,1.0,94.22,4.91,0.87,95.31,2.73,1.95,93.33,0.56,6.11,SAO JOSE DO RIO PRETO
2013,DIADEMA,DIADEMA,1.0,98.41,1.28,0.32,0.0,0.0,0.0,82.93,10.09,6.98,METROPOLITANA DE SAO PAULO
2013,FERNANDOPOLIS,MERIDIANO,1.0,99.62,0.38,0.0,0.0,0.0,0.0,95.21,1.8,2.99,SAO JOSE DO RIO PRETO
2013,FERNANDOPOLIS,MIRA ESTRELA,1.0,92.68,7.32,0.0,0.0,0.0,0.0,93.4,6.6,0.0,SAO JOSE DO RIO PRETO
2013,FERNANDOPOLIS,ESTRELA D'OESTE,1.0,0.0,0.0,0.0,94.1,1.61,4.29,88.16,4.82,7.02,SAO JOSE DO RIO PRETO
2013,FERNANDOPOLIS,FERNANDOPOLIS,1.0,96.72,3.28,0.0,95.37,3.88,0.75,88.01,10.56,1.43,SAO JOSE DO RIO PRETO
2013,FERNANDOPOLIS,GENERAL SALGADO,1.0,100.0,0.0,0.0,100.0,0.0,0.0,78.81,12.66,8.53,SAO JOSE DO RIO PRETO
2013,FERNANDOPOLIS,INDIAPORA,1.0,0.0,0.0,0.0,94.42,4.06,1.52,79.08,7.19,13.73,SAO JOSE DO RIO PRETO
2013,FERNANDOPOLIS,PEDRANOPOLIS,1.0,0.0,0.0,0.0,98.57,1.43,0.0,98.7,1.3,0.0,SAO JOSE DO RIO PRETO
2013,FERNANDOPOLIS,TURMALINA,1.0,100.0,0.0,0.0,0.0,0.0,0.0,90.14,5.63,4.23,SAO JOSE DO RIO PRETO
2013,FERNANDOPOLIS,SAO JOAO DE IRACEMA,1.0,0.0,0.0,0.0,96.19,3.81,0.0,97.1,2.9,0.0,SAO JOSE DO RIO PRETO
2013,FERNANDOPOLIS,SAO JOAO DAS DUAS PONTES,1.0,0.0,0.0,0.0,96.6,2.04,1.36,92.11,5.26,2.63,SAO JOSE DO RIO PRETO
